id,question,answer,description,category_id,difficulty_id,expected_output
135,"person = {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}
for key, value in person.items():
    print(key, value)

上記のコードを実行すると、出力される値は？
1️⃣
name Alice
age 25
city New York
（辞書のキーと値を1行ずつ表示）

2️⃣
Alice 25 New York
（辞書の値を1行ずつ表示）

3️⃣
name age city
（辞書のキーを1行ずつ表示）

4️⃣ Error（エラーが発生する）","1️⃣
name Alice
age 25
city New York","🔹 items() メソッドを使った辞書の反復
items() メソッドを使うと、辞書のキーと値のペアを同時に取り出すことができます。
この場合、for key, value in person.items() は、person 辞書のすべてのキーと値を順番に取得し、key と value に代入して処理します。

✅ items() メソッドのポイント
✔ items() は辞書のキーと値をペアで取り出すために使用！
✔ for ループで辞書のすべてのペアを順番に処理できる！
✔ key, value に代入して、キーと値を同時に扱える！

📌 例: items() メソッドを使った辞書の処理

・辞書のキーと値を1行ずつ表示
person = {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}
for key, value in person.items():
    print(f""{key}: {value}"")

・ 辞書の値を変換
person = {""name"": ""Alice"", ""age"": 25}
for key, value in person.items():
    person[key] = str(value)  # 値を文字列に変換
print(person)  # ✅ {""name"": ""Alice"", ""age"": ""25""}

📌 items() メソッドを活用すると、辞書を効率よく処理できる！",2,2,
136,"numbers = [1, 2, 2, 3, 4, 4, 5]
unique_numbers = set(numbers)
print(unique_numbers)

上記のコードを実行すると、出力される値は？
1️⃣ {1, 2, 3, 4, 5}（重複を削除したセット）
2️⃣ [1, 2, 3, 4, 5]（リストのまま出力される）
3️⃣ {1, 2, 2, 3, 4, 4, 5}（重複を削除しない）
4️⃣ Error（エラーが発生する）","1️⃣ {1, 2, 3, 4, 5}（重複を削除したセット）","🔹 set() を使った重複の削除
set() は**セット（集合）**を作成するための関数で、セットは重複する要素を持たない特性があります。
そのため、リストに重複が含まれていても、set() を使うことで自動的に重複が削除され、一意な要素だけが残ります。

✅ set() のポイント
✔ set() はリストやタプルから重複を削除して一意な要素を保持する！
✔ セットの要素は順番を保持しない（順序が不定）！
✔ 集合演算（和集合、積集合、差集合など）にも利用できる！

📌 例: set() を使った重複削除

・ リストから重複を削除
numbers = [1, 2, 2, 3, 4, 4, 5]
unique_numbers = set(numbers)  
print(unique_numbers)  # ✅ {1, 2, 3, 4, 5}

・セットの集合演算
set_a = {1, 2, 3}
set_b = {2, 3, 4}
union = set_a | set_b  # 和集合
print(union)  # ✅ {1, 2, 3, 4}

intersection = set_a & set_b  # 積集合
print(intersection)  # ✅ {2, 3}

difference = set_a - set_b  # 差集合
print(difference)  # ✅ {1}

📌 set() を活用して重複削除や集合演算が簡単にできる！",1,2,
137,"for i in range(5):
    if i == 3:
        continue
    print(i)

上記のコードを実行すると、出力される値は？
1️⃣ 0 1 2 4（3はスキップされる）
2️⃣ 0 1 2 3 4（すべての値が出力される）
3️⃣ 0 1 2（3と4はスキップされる）
4️⃣ Error（エラーが発生する）","1️⃣ 0 1 2 4（3はスキップされる）","🔹 continue の使い方
continue は、ループ内で使用されると、その時点での繰り返し処理をスキップして次の反復に進むために使います。
具体的には、continue が発動した時、その後の処理（print(i)）をスキップして、次のループへ進みます。

✅ continue のポイント
✔ continue はループ内で条件に一致した場合に、その反復処理をスキップして次の反復に進む！
✔ 条件を満たさなければ通常通り処理が続く！

📌 例: continue の使い方

・ `continue` を使って特定の値をスキップ
for i in range(5):
    if i == 3:
        continue  # i が 3 のときスキップ
    print(i)  # ✅ 0 1 2 4

・`continue` を使って偶数のみ出力
for i in range(5):
    if i % 2 != 0:
        continue  # i が奇数の時はスキップ
    print(i)  # ✅ 0 2 4

📌 continue を使うことで、特定の条件で処理をスキップして、効率よく反復処理を行うことができる！",2,2,
138,"for i in range(3):
    print(i)
else:
    print(""Loop finished"")

 上記のコードを実行すると、出力される値は？
1️⃣
0
1
2
Loop finished
（for ループが正常に完了した場合）

2️⃣
0
1
2
（else のメッセージは表示されない）

3️⃣
Loop finished
（else のメッセージだけ表示）

4️⃣ Error（エラーが発生する）","1️⃣
0
1
2
Loop finished
","🔹 else と for ループの組み合わせ
for ループにおいて、else ブロックはループが正常に完了した場合に実行されます。
つまり、ループが**breakによって中断されなかった場合**、else が実行されます。

✅ else と for ループのポイント
✔ else は、for ループが正常に完了した場合にのみ実行される！
✔ break によってループが中断された場合、else は実行されない！

📌 例: else を使ったループ処理
・ `for` ループでの正常終了時に `else` が実行される
for i in range(3):
    print(i)  # ✅ 0 1 2
else:
    print(""Loop finished"")  # ✅ Loop finished

・ `break` でループが中断された場合、`else` は実行されない
for i in range(3):
    if i == 1:
        break  # `i == 1` でループが中断される
    print(i)
else:
    print(""Loop finished"")  # ✅ このメッセージは表示されない

📌 else を使うと、ループが正常に完了したかどうかに応じて異なる処理を実行できる！",2,2,
139,"x = 0
while x < 5:
    print(x)
    x += 1

上記のコードを実行すると、出力される値は？
1️⃣ 0 1 2 3 4（x が 5 未満の間、1ずつ増加）
2️⃣ 1 2 3 4 5（x が 5 以上になった時にループ終了）
3️⃣ 0 1 2 3（x が 4 のときに終了）
4️⃣ Error（エラーが発生する）","1️⃣ 0 1 2 3 4（x が 5 未満の間、1ずつ増加）","🔹 while ループの動き
while ループは、指定した条件が True の間、繰り返し処理を実行する構文です。
この場合、x < 5 の条件が True の間、x が 1ずつ増加して処理が繰り返されます。

✅ while ループのポイント
✔ while ループは、条件が True の間繰り返し処理を実行！
✔ x += 1 で x を1ずつ増加させ、条件 x < 5 を満たす限りループが続く！
✔ x の値が5を超えると、ループが終了！

📌 例: while ループを使ったカウント処理

・ `while` ループで `x` を増加させる
x = 0
while x < 5:
    print(x)  # ✅ 0 1 2 3 4
    x += 1

・ `x` を減少させる
x = 5
while x > 0:
    print(x)  # ✅ 5 4 3 2 1
    x -= 1

📌 while ループを使うと、指定した条件に基づいて繰り返し処理を行うことができる！",2,2,
140,"for i in range(5):
    if i == 3:
        break
    print(i)

 上記のコードを実行すると、出力される値は？
1️⃣ 0 1 2（i == 3 のときにループを終了）
2️⃣ 0 1 2 3 4（break がないため、すべての値が表示）
3️⃣ 0 1 2 3（break がない場合と同じ）
4️⃣ Error（エラーが発生する）","1️⃣ 0 1 2（i == 3 のときにループを終了）","🔹 break の使い方
break は、ループを途中で終了させるために使用されます。
ループ内で break が実行されると、その時点でループが終了し、残りの繰り返し処理は実行されません。

✅ break のポイント
✔ break は、ループ内で条件を満たしたときに、その時点でループを終了させる！
✔ break は通常、if 文と組み合わせて使い、特定の条件でループを早期に終了させる！

📌 例: break を使ったループの終了

・ `break` を使ってループを途中で終了
for i in range(5):
    if i == 3:
        break  # 3で終了
    print(i)  # ✅ 0 1 2

・ 条件に達したときに `break` を使う
while True:  # 無限ループ
    user_input = input(""Enter 'q' to quit: "")
    if user_input == 'q':
        break  # 'q' が入力されたらループを終了

👉 break を使うことで、ループを途中で終了させることができる！",2,2,
141,"for i in range(5):
    if i == 2:
        continue
    print(i)

 上記のコードを実行すると、出力される値は？
1️⃣ 0 1 2 3 4（すべての値が出力される）
2️⃣ 0 1 3 4（i == 2 のときだけスキップ）
3️⃣ 1 2 3 4（最初の0をスキップ）
4️⃣ Error（エラーが発生する）","2️⃣ 0 1 3 4（i == 2 のときだけスキップ）","🔹 continue の使い方
continue は、ループ内で特定の条件を満たしたとき、その反復処理をスキップして次の反復に進むために使います。
この場合、i == 2 のときに continue が発動し、print(i) の処理がスキップされます。

✅ continue のポイント
✔ continue はループ内で条件に一致した場合、その反復処理をスキップして次の反復に進む！
✔ 条件を満たさなければ通常通り処理が続く！

📌 例: continue の使い方

・ `continue` を使って特定の値をスキップ
for i in range(5):
    if i == 2:
        continue  # i が 2 のときスキップ
    print(i)  # ✅ 0 1 3 4

・ `continue` を使って偶数のみ出力
for i in range(5):
    if i % 2 != 0:
        continue  # i が奇数の時はスキップ
    print(i)  # ✅ 0 2 4

👉 continue を使うことで、特定の条件で処理をスキップして、効率よく反復処理を行うことができる！",2,2,
142,"person = {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}
for key, value in person.items():
    print(f""{key}: {value}"")

 上記のコードを実行すると、出力される値は？

1️⃣
name: Alice
age: 25
city: New York
（辞書のキーと値を1行ずつ表示）

2️⃣
Alice: 25
New York: name
（値とキーが逆に表示）

3️⃣
name age city
Alice 25 New York
（キーと値を1行ずつ表示）

4️⃣ Error（エラーが発生する）","1️⃣
name: Alice
age: 25
city: New York
（辞書のキーと値を1行ずつ表示）","🔹 辞書の items() メソッド
items() メソッドは、辞書のキーと値をペアで取得するために使用します。
このメソッドを使うと、各キーと対応する値を同時に取り出すことができます。

✅ items() メソッドのポイント
✔ items() は辞書のキーと値をペアで取り出すために使用！
✔ for ループを使って辞書のすべてのペアを順番に処理できる！
✔ key, value に代入して、キーと値を同時に扱える！

📌 例: items() メソッドを使った辞書の処理

・ 辞書のキーと値を1行ずつ表示
person = {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}
for key, value in person.items():
    print(f""{key}: {value}"")

・ 辞書の値を変換
person = {""name"": ""Alice"", ""age"": 25}
for key, value in person.items():
    person[key] = str(value)  # 値を文字列に変換
print(person)  # ✅ {""name"": ""Alice"", ""age"": ""25""}

👉 items() メソッドを活用すると、辞書を効率よく処理できる！",2,2,
143,"fruits = [""apple"", ""banana"", ""cherry""]
for i in fruits:
    if i == ""banana"":
        continue
    print(i)

上記のコードを実行すると、出力される値は？
1️⃣ apple banana cherry（すべてのフルーツが表示される）
2️⃣ apple cherry（banana はスキップされる）
3️⃣ banana（banana だけ表示される）
4️⃣ Error（エラーが発生する）","2️⃣ apple cherry（banana はスキップされる）","🔹 continue を使った要素のスキップ
continue は、ループ内で特定の条件に合致したとき、その反復をスキップし、次の反復に進むために使われます。
このコードでは、リスト fruits の中から**banana の時にcontinue が発動し、print(i) がスキップされます**。そのため、banana は表示されません。

✅ continue のポイント
✔ continue はループ内で条件を満たしたとき、その反復処理をスキップして次の反復に進む！
✔ continue は通常、if 文と組み合わせて使い、特定の条件で処理をスキップする！

📌 例: continue を使った要素のスキップ

・ `continue` を使って特定の値をスキップ
fruits = [""apple"", ""banana"", ""cherry""]
for fruit in fruits:
    if fruit == ""banana"":
        continue  # ""banana"" のときスキップ
    print(fruit)  # ✅ apple cherry

・ 偶数だけを表示
numbers = [1, 2, 3, 4, 5]
for num in numbers:
    if num % 2 != 0:
        continue  # 奇数のときスキップ
    print(num)  # ✅ 2 4
👉 continue を使うことで、特定の条件で処理をスキップして、効率よく反復処理を行うことができる！",2,2,
144,"numbers = [1, 2, 3, 4, 5]
squared_even = [x**2 for x in numbers if x % 2 == 0]
print(squared_even)

上記のコードを実行すると、出力される値は？
1️⃣ [4, 16]（偶数の平方）
2️⃣ [1, 4, 9, 16, 25]（すべての平方）
3️⃣ [2, 4, 6, 8, 10]（偶数の倍数）
4️⃣ Error（エラーが発生する）","1️⃣ [4, 16]（偶数の平方）","🔹 リスト内包表記の条件付き
リスト内包表記は、リストを生成するための簡潔な方法です。
for ループと条件を組み合わせて、リストを生成する際に条件に合致する要素のみを処理できます。
この場合、x % 2 == 0 の条件に合致する偶数のみを平方してリストに追加しています。

✅ リスト内包表記のポイント
✔ リスト内包表記で、for と条件を使って、必要な要素だけを簡単に処理できる！
✔ if の条件を使って、特定の条件に一致する要素だけを処理できる！

📌 例: リスト内包表記の条件付き

・偶数の平方のみ計算
numbers = [1, 2, 3, 4, 5]
squared_even = [x**2 for x in numbers if x % 2 == 0]
print(squared_even)  # ✅ [4, 16]

・ 奇数だけをリストにする
odd_numbers = [x for x in numbers if x % 2 != 0]
print(odd_numbers)  # ✅ [1, 3, 5]

👉 リスト内包表記を使うと、リストの作成や条件付き処理が簡潔に記述できる！",2,2,
145,"numbers = [1, 2, 3, 4, 5]
squared_numbers = list(map(lambda x: x**2, numbers))
print(squared_numbers)

上記のコードを実行すると、出力される値は？
1️⃣ [1, 4, 9, 16, 25]（各値を2乗したリスト）
2️⃣ [2, 4, 6, 8, 10]（各値を2倍したリスト）
3️⃣ [1, 2, 3, 4, 5]（元のリストのまま）
4️⃣ Error（エラーが発生する）","1️⃣ [1, 4, 9, 16, 25]（各値を2乗したリスト）","🔹 map() 関数の使い方
map() 関数は、指定した関数をリストのすべての要素に適用するための便利な関数です。
このコードでは、map() を使って、リスト numbers の各要素に対して、lambda 関数（x: x**2）を適用しています。これにより、リストの各要素が2乗された値に変換されます。

✅ map() 関数のポイント
✔ map() は、関数をリストの各要素に適用して新しいリストを生成！
✔ lambda を使って簡単に関数を定義でき、リストの操作が簡潔に行える！
✔ list() で map() の結果をリストに変換して利用する！

📌 例: map() を使ったリスト処理

・`map()` で値を2倍にする
numbers = [1, 2, 3, 4, 5]
doubled_numbers = list(map(lambda x: x*2, numbers))
print(doubled_numbers)  # ✅ [2, 4, 6, 8, 10]

・ `map()` で文字列の長さを計算
strings = [""apple"", ""banana"", ""cherry""]
lengths = list(map(len, strings))
print(lengths)  # ✅ [5, 6, 6]

👉 map() はリストを効率的に処理できる便利な関数！",2,2,
146,"fruits = [""apple"", ""banana"", ""cherry""]
for i in range(len(fruits)):
    if fruits[i] == ""banana"":
        fruits[i] = ""grape""
    print(fruits[i])

上記のコードを実行すると、出力される値は？
1️⃣
apple
grape
cherry
（banana を grape に変更）

2️⃣
apple
banana
cherry
（リストの変更なし）

3️⃣
apple
grape
grape
（banana が2回変更）

4️⃣ Error（エラーが発生する）","1️⃣
apple
grape
cherry
（banana を grape に変更）","🔹 リストの要素を変更する
このコードは、for ループを使用してリスト fruits の要素を順番にチェックし、特定の要素（""banana""）を見つけた場合にその要素を変更しています。
fruits[i] = ""grape"" で、banana を grape に変更しています。

✅ リストの要素変更のポイント
✔ リストの要素をインデックスでアクセスして変更できる！
✔ for ループとインデックスを使うことで、リストの要素を順番に変更可能！

📌 例: リスト内の特定の要素を変更

・リスト内の特定の要素を変更
fruits = [""apple"", ""banana"", ""cherry""]
for i in range(len(fruits)):
    if fruits[i] == ""banana"":
        fruits[i] = ""grape""  # banana を grape に変更
print(fruits)  # ✅ ['apple', 'grape', 'cherry']

・ 複数の要素を変更
for i in range(len(fruits)):
    if fruits[i] == ""apple"":
        fruits[i] = ""orange""  # apple を orange に変更
print(fruits)  # ✅ ['orange', 'grape', 'cherry']

👉 リストの要素を変更することで、リスト内のデータを効率よく更新できる！",2,2,
147,"numbers = [5, 2, 8, 1, 3]
sorted_numbers = sorted(numbers)
print(sorted_numbers)

 上記のコードを実行すると、出力される値は？
1️⃣ [1, 2, 3, 5, 8]（昇順に並べ替え）
2️⃣ [8, 5, 3, 2, 1]（降順に並べ替え）
3️⃣ [5, 2, 8, 1, 3]（元の順番のまま）
4️⃣ Error（エラーが発生する）","1️⃣ [1, 2, 3, 5, 8]（昇順に並べ替え）","🔹 sorted() を使ったリストの並べ替え
sorted() 関数は、リストを昇順または降順に並べ替えるために使用されます。

sorted() は元のリストを変更せず、新しいリストを返します（リスト自体を変更しない）。
並べ替えはデフォルトで昇順（小さい順）で行われます。

✅ sorted() のポイント
✔ sorted() はリストの要素を昇順に並べ替え、新しいリストを返す！
✔ 元のリストは変更されないので、元の順番を保ちたい場合に便利！
✔ 引数で reverse=True を指定すると降順に並べ替えられる！

📌 例: sorted() の使用例

・ 昇順に並べ替え
numbers = [5, 2, 8, 1, 3]
sorted_numbers = sorted(numbers)
print(sorted_numbers)  # ✅ [1, 2, 3, 5, 8]

・ 降順に並べ替え
sorted_numbers_desc = sorted(numbers, reverse=True)
print(sorted_numbers_desc)  # ✅ [8, 5, 3, 2, 1]

・ 元のリストはそのまま
print(numbers)  # ✅ [5, 2, 8, 1, 3]

👉 sorted() を使うことで、リストを並べ替えたり、元のリストを保持しつつ順序を変更することができる！",10,2,
148,"try:
    result = 10 / 0
except ZeroDivisionError:
    result = ""Cannot divide by zero""
print(result)

 上記のコードを実行すると、出力される値は？
1️⃣ Cannot divide by zero（ゼロ除算エラーを処理）
2️⃣ None（エラーが発生しない）
3️⃣ Error（エラーが発生する）
4️⃣ 10（計算結果）","1️⃣ Cannot divide by zero（ゼロ除算エラーを処理）","🔹 try と except を使ったエラーハンドリング
Pythonでは、エラーが発生する可能性のあるコードを try ブロック内に入れ、そのエラーを except ブロックでキャッチして処理することができます。
このコードでは、ゼロ除算エラー（ZeroDivisionError）が発生することを想定して、エラーメッセージを表示するようにしています。

✅ try と except のポイント
✔ try ブロックでエラーを発生させる可能性のあるコードを実行！
✔ except ブロックで特定のエラーをキャッチし、適切な処理を行う！
✔ エラーが発生しなければ、except はスキップされ、通常通り処理が進む！

📌 例: try と except を使ったエラーハンドリング

・ゼロ除算エラーを処理
try:
    num = 10 / 0
except ZeroDivisionError:
    num = ""Error: Cannot divide by zero""
print(num)  # ✅ Error: Cannot divide by zero

・ リストのインデックスエラーを処理
try:
    lst = [1, 2, 3]
    print(lst[5])  # インデックス範囲外
except IndexError:
    print(""Error: Index out of range"")  # ✅ Error: Index out of range

👉 try と except を使うことで、プログラムのエラーを優雅に処理できる！",7,1,
149,"x = 0
while True:
    print(x)
    x += 1
    if x == 3:
        break

 上記のコードを実行すると、出力される値は？
1️⃣ 0 1 2（x == 3 の時点でループ終了）
2️⃣ 0 1 2 3（x == 3 を超えてもループ続行）
3️⃣ 0 1 2 3 4（無限ループ）
4️⃣ Error（エラーが発生する）","1️⃣ 0 1 2（x == 3 の時点でループ終了）","🔹 while True と break の使い方
while True は無限ループを作るための一般的な構文です。
この場合、while ループは無限に繰り返されますが、if x == 3 の条件が満たされると、break によってループが終了します。

✅ while True と break のポイント
✔ while True は無限ループを作成し、break を使って条件に合致したらループを終了する！
✔ break を使うことで、無限ループでも途中で終了条件を設定することができる！

📌 例: while True と break の使用
・無限ループを使って一定回数だけ繰り返す
count = 0
while True:
    count += 1
    if count > 5:
        break  # count が 5 を超えたらループを終了
    print(count)  # ✅ 1 2 3 4 5

👉while True と break は、無限ループを途中で終了させたい場合に便利！",2,2,
150,"x = 0
while x < 5:
    x += 1
    if x == 4:
        break
print(x)

上記のコードを実行すると、出力される値は？
1️⃣ 4（x == 4 でループ終了）
2️⃣ 5（x == 5 でループ終了）
3️⃣ 3（x == 3 でループ終了）
4️⃣ 6（x == 6 でループ終了）","1️⃣ 4（x == 4 でループ終了）","🔹 while ループと break の動き
このコードでは、while ループが x が5未満の間実行され、x が3から4に増加した時点で**break**によってループを終了します。
その後、print(x) で最終的に x の値が出力されます。

✅ while ループと break のポイント
✔ while ループは指定された条件が True の間繰り返し実行されます。
✔ break はループ内で特定の条件が満たされたときにループを強制的に終了します。
✔ print(x) ではループが終了した後の x の値が出力されます。

📌 例: while ループと break の使用
# `x == 4` のときにループを終了
x = 0
while x < 10:
    x += 1
    if x == 4:
        break  # 4 で終了
print(x)  # ✅ 4

・数値が偶数のときにループを終了
x = 0
while x < 5:
    if x % 2 == 0:
        break  # 偶数のときに終了
    x += 1
print(x)  # ✅ 0

👉 while ループと break を使って、特定の条件でループを終了させることができる！",2,2,
151,"x = 0
while x < 5:
    x += 1
    if x == 3:
        continue
    print(x)
    if x == 4:
        break

 上記のコードを実行すると、出力される値は？
1️⃣ 1 2 4（x == 3 の時にスキップ、x == 4 でループ終了）
2️⃣ 1 2 3 4（x == 3 の時にスキップ）
3️⃣ 1 2 3（x == 4 の時にスキップ）
4️⃣ Error（エラーが発生する）","1️⃣ 1 2 4（x == 3 の時にスキップ、x == 4 でループ終了）","🔹 continue と break の使い方
このコードでは、while ループとともに、continue と break を使って処理を制御しています。

continue は、条件に合った時にその後の処理をスキップして次のループに進むために使用します。
break は、指定した条件が満たされた時にループを完全に終了させるために使用します。

✅ continue と break のポイント
✔ continue は条件を満たしたとき、残りの処理をスキップして次のイテレーションへ進む！
✔ break は条件を満たしたとき、ループを完全に終了させる！
✔ continue と break を適切に使用することで、ループの挙動を細かく制御できる！

📌 例: continue と break の使用
・`continue` と `break` を使ってループの挙動を制御
x = 0
while x < 5:
    x += 1
    if x == 3:
        continue  # 3 の時はスキップ
    print(x)  # 出力: 1 2 4 5

・ `break` を使ってループを途中で終了
y = 0
while y < 5:
    y += 1
    if y == 4:
        break  # 4 の時に終了
    print(y)  # 出力: 1 2 3

👉 continue と break を使うことで、ループ内の処理を細かく制御し、効率的なロジックが作成できる！",2,2,
152,"x = 0
while x < 5:
    print(x)
    x += 1
else:
    print(""Loop finished"")

上記のコードを実行すると、出力される値は？
1️⃣
0
1
2
3
4
Loop finished
（while ループが正常に完了した場合）

2️⃣
0
1
2
3
4
（else のメッセージは表示されない）

3️⃣
Loop finished
（else のメッセージだけ表示）

4️⃣ Error（エラーが発生する）","0
1
2
3
4
Loop finished
（while ループが正常に完了した場合）","🔹 else と while ループ
while ループは指定した条件が True の間繰り返し実行されますが、ループが正常に完了した場合、else ブロックが実行されます。
ここでは、while x < 5 の条件が満たされる間、x が0から4まで表示され、その後 else の部分で ""Loop finished"" が表示されます。

✅ else と while ループのポイント
✔ else ブロックは、while ループが正常に完了した場合にのみ実行される！
✔ ループが途中で break などで終了した場合、else は実行されない！
✔ else を使うことで、ループの完了後の処理を簡単に追加できる！

📌 例: else と while ループの使用
# 正常に完了した場合に `else` が実行される
x = 0
while x < 5:
    print(x)
    x += 1
else:
    print(""Loop finished"")  # ✅ ""Loop finished""

・ `break` でループが中断された場合は `else` は実行されない
x = 0
while x < 5:
    print(x)
    if x == 3:
        break  # x == 3 のときにループ終了
    x += 1
else:
    print(""Loop finished"")  # ここは実行されない

👉 else と while を組み合わせて、ループの終了時に行うべき処理を明示的に記述できる！

",2,2,
153,"numbers = [1, 2, 3, 4, 5]
for num in numbers:
    if num == 4:
        break
    print(num)

上記のコードを実行すると、出力される値は？
1️⃣ 1 2 3（num == 4 の時点でループ終了）
2️⃣ 1 2 3 4（num == 4 も表示）
3️⃣ 1 2 3 4 5（全ての値が表示）
4️⃣ Error（エラーが発生する）","1️⃣ 1 2 3（num == 4 の時点でループ終了）","🔹 for ループと break
for ループはリストやタプル、文字列などのシーケンスを反復処理する際に使用されます。
ここでは、リスト numbers の中を順番に処理していき、num == 4 の時点で**break**を使ってループを終了しています。

✅ for ループと break のポイント
✔ for ループはシーケンスの各要素を反復処理する際に使用する！
✔ break は条件が満たされたとき、ループを即座に終了させる！
✔ break を使うことで、特定の条件に達した時にループを終了できる！

📌 例: for ループと break の使用
・ `for` ループと `break` を使って条件でループを終了
numbers = [10, 20, 30, 40, 50]
for num in numbers:
    if num == 30:
        break  # 30 の時点でループ終了
    print(num)  # 出力: 10 20

・リスト内に特定の値があるかチェック
search_value = 3
numbers = [1, 2, 3, 4, 5]
for num in numbers:
    if num == search_value:
        print(f""{search_value} found!"")  # 出力: 3 found!
        break

👉 break を使うことで、ループの途中で条件に応じた処理を行い、効率よくループを終了できる！",2,2,
154,"numbers = [1, 2, 3, 4, 5]
for num in numbers:
    if num == 3:
        continue
    print(num)

上記のコードを実行すると、出力される値は？
1️⃣ 1 2 4 5（num == 3 の時はスキップ）
2️⃣ 1 2 3 4 5（num == 3 の時も表示）
3️⃣ 2 4 5（num == 1 の時スキップ）
4️⃣ Error（エラーが発生する）","1️⃣ 1 2 4 5（num == 3 の時はスキップ）","🔹 continue と for ループ
continue は、ループ内で特定の条件に当てはまった時、そのループのその回をスキップして次のイテレーション（繰り返し）へ進むために使用します。

このコードでは、num == 3 の時、continue を使用して 3 の出力をスキップし、その後の処理に進むようになっています。

✅ continue と for ループのポイント
✔ continue は特定の条件を満たしたとき、その回のループ処理をスキップする！
✔ for ループ内で continue を使うことで、特定の要素を除外した処理を簡単に実現できる！
✔ continue を使うと、ループ内の後続処理をスキップして次のイテレーションに進む！

📌 例: continue と for の使用
・ リスト内で奇数のみ出力
numbers = [1, 2, 3, 4, 5]
for num in numbers:
    if num % 2 == 0:
        continue  # 偶数の時はスキップ
    print(num)  # 出力: 1 3 5

・ リスト内で3の倍数のみ出力
numbers = [1, 2, 3, 4, 5, 6]
for num in numbers:
    if num % 3 != 0:
        continue  # 3の倍数以外はスキップ
    print(num)  # 出力: 3 6

👉 continue を活用することで、ループ内で特定の条件に合うものだけを処理することができる！",2,2,
155,"def greet(name):
    return f""Hello, {name}!""

result = greet(""Alice"")
print(result)

上記のコードを実行すると、出力される値は？
1️⃣ Hello, Alice!（greet() 関数が返す結果）
2️⃣ None（関数が何も返さない場合）
3️⃣ greet(""Alice"")（関数の呼び出し結果）
4️⃣ Error（エラーが発生する）","1️⃣ Hello, Alice!（greet() 関数が返す結果","🔹 関数の基本
このコードでは、greet() という関数が name を引数として受け取り、その name を使って ""Hello, {name}!"" という文字列を返しています。

✅ 関数の基本ポイント
✔ 関数は、指定した処理をまとめて再利用可能にするためのコードブロックです。
✔ 関数に引数を渡して、その引数を使った処理を行い、戻り値を返すことができます。
✔ 戻り値がある関数の場合、その結果を変数に格納したり、print() で出力したりできます。

📌 例: 関数の使用
# 簡単な挨拶関数
def greet(name):
    return f""Hi, {name}!""

# 数字を二倍にする関数
def double(number):
    return number * 2

# 複数の引数を受け取る関数
def add(a, b):
    return a + b

print(greet(""Bob""))  # 出力: Hi, Bob!
print(double(4))     # 出力: 8
print(add(3, 5))     # 出力: 8

👉 関数を使うことで、コードの再利用が簡単になり、コードがスッキリと整理されます！",3,2,
156,"以下のコードを実行すると、出力される値は？

def multiply(x, y):
    return x * y

result = multiply(3, 4)
print(result)

1️⃣ 7
2️⃣ 12
3️⃣ ""34""
4️⃣ Error（エラーが発生する","2️⃣ 12","🔹 関数の基本（引数と戻り値）
この関数 multiply(x, y) は 2つの引数 x と y を受け取り、それらを掛け算して返す関数 です。

def multiply(x, y):
    return x * y
・return は関数の処理結果を戻すために使われます。
・return x * y により、 x と y の積を関数の呼び出し元に返します

📌 ポイント
✔ 関数は return で値を返す（print() とは異なる）
✔ 引数を渡して計算を行うことができる
✔ 関数を変数に代入すると、その戻り値が変数に格納される

👉 関数を使うことで、再利用可能なコードを作成できる！ ",3,1,
157,"次のコードの出力はどうなるでしょう？ 🤔

def add(a, b=5):
    return a + b

print(add(7))

1️⃣ 7
2️⃣ 12
3️⃣ Error（エラーが発生する）
4️⃣ None","2️⃣ 12","🔹 デフォルト引数とは？
デフォルト引数とは、関数の引数にあらかじめ初期値を設定できる仕組み です。
この問題では、b=5 のように b のデフォルト値を 5 に設定 しています。

def add(a, b=5):
    return a + b

・a には 必ず 値を渡す必要があります。
・b には 値を渡さなければ、デフォルトの 5 が使用される。

🔹 コードの流れ
1️⃣ add(7) を呼び出し
2️⃣ a = 7 に設定される
3️⃣ b の値は指定されていないため、デフォルトの 5 が使われる
4️⃣ return 7 + 5 → 12 が返される
5️⃣ print(12) により、出力は 12 ✅

📌 ポイント
✔ デフォルト引数を設定すると、関数を呼び出す際に省略可能！
✔ デフォルト引数は右側の引数にのみ設定可能！（左側に設定するとエラー）

📌 例：エラーになるケース
def example(a=10, b):  # ❌ エラー！デフォルト引数は後ろに置く必要がある
    return a + b
",3,1,
